parameter,location_id,location_name,country,sensor_id,expected_interval,interval_label,datetime_first_local,reaches_jan_2000
pm25,7335,五台山医院,CN,21196,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,1471,WAVELAND,US,23096,01:00:00,hourly,2018-01-10T11:00:00-06:00,False
pm25,947320,Wilmington Pk ES (7781),US,2000707,00:30:00,hourly,2022-03-03T11:00:00-08:00,False
pm25,301388,"Sardar Patel Inter College, Baghpat - UPPCB",IN,12237035,01:00:00,hourly,2025-02-19T01:45:00+05:30,False
pm25,8896,Visalia - N. Church,US,25954,01:00:00,hourly,2019-04-19T09:00:00-07:00,False
pm25,6950,"Jadavpur, Kolkata - WBPCB",IN,19997,01:00:00,hourly,2019-06-19T04:30:00+05:30,False
pm25,6175359,"Talǵar, Gagarin atyndaǵy №8 mektep",KZ,14969349,01:00:00,hourly,2025-12-23T18:00:00+05:00,False
pm25,5601,"Lajpat Nagar, Moradabad - UPPCB",IN,15207,01:00:00,hourly,2018-03-09T11:00:00+05:30,False
pm25,6317668,Makpetrol - Valandovo exit,MK,16026707,00:18:00,hourly,2026-04-22T19:04:13+02:00,False
pm25,3063951,Siavonga Harbour 2,ZM,10619511,01:00:00,hourly,2024-09-15T11:00:00+02:00,False
pm25,1860,Spokane-N Monroe St,US,3282,01:00:00,hourly,2016-03-06T12:00:00-08:00,False
pm25,1746,Steubenville,US,5077783,01:00:00,hourly,2022-10-04T14:00:00-04:00,False
pm25,6003,Cle Elum Mobile,US,16264,01:00:00,hourly,2017-08-31T03:00:00-07:00,False
pm25,225526,City Hall - Durban-NAQI,ZA,1303909,01:00:00,hourly,2021-04-29T19:00:00+02:00,False
pm25,231786,Willow Creek,US,1334168,01:00:00,hourly,2021-08-11T14:00:00-07:00,False
pm25,5524245,McClymonds HS,US,13929758,00:18:00,hourly,2025-08-22T10:04:23-07:00,False
pm25,6387767,Brindisi - Casale,IT,16505614,01:00:00,hourly,2026-06-01T10:00:00+02:00,False
pm25,1560,Tallahassee Communit,US,25914,01:00:00,hourly,2017-02-17T13:00:00-05:00,False
pm25,6217058,"Research Institute for Health Sciences (RIHES),. Chiang Mai University",TH,15277170,01:00:00,hourly,2026-01-27T12:00:00+07:00,False
pm25,43337,油田生活基地,CN,236361,01:00:00,hourly,2021-01-01T01:00:00+08:00,False
pm25,6172496,SJVAir-af04,US,14947720,01:00:00,hourly,2025-12-20T17:00:00-08:00,False
pm25,3039820,多治見市上野町５丁目６８番地１,JP,10438870,01:00:00,hourly,2024-08-30T18:00:00+09:00,False
pm25,225596,"Sathon District Office, Bangkok",TH,1304091,24:00:00,daily,2021-04-30T02:00:00+07:00,False
pm25,3404202,Loretto Ozone,US,12196539,00:18:00,hourly,2025-02-14T16:10:56-06:00,False
